"Fnc" "Time"
"1" "fnc_assign(y40000)" 32882843
"2" "fnc_assign(y10000)" 8005508
"3" "fnc_assign(y5000)" 3686172
"4" "fnc_assign(y10000)" 7411651
"5" "fnc_assign(y20000)" 19932607
"6" "fnc_assign(y1000)" 1356048
"7" "fnc_assign(y50000)" 50635352
"8" "fnc_assign(y20000)" 14816622
"9" "fnc_assign(y50000)" 39212768
"10" "fnc_assign(y1000)" 747822
"11" "fnc_assign(y20000)" 15911992
"12" "fnc_assign(y1000)" 746573
"13" "fnc_assign(y5000)" 3540356
"14" "fnc_assign(y50000)" 37876768
"15" "fnc_assign(y1000)" 772092
"16" "fnc_assign(y10000)" 8125713
"17" "fnc_assign(y30000)" 22298840
"18" "fnc_assign(y40000)" 30564121
"19" "fnc_assign(y50000)" 38037196
"20" "fnc_assign(y5000)" 3709520
"21" "fnc_assign(y100)" 92261
"22" "fnc_assign(y1000)" 734242
"23" "fnc_assign(y40000)" 31424694
"24" "fnc_assign(y5000)" 3705555
"25" "fnc_assign(y1000)" 728764
"26" "fnc_assign(y20000)" 15314229
"27" "fnc_assign(y40000)" 30359709
"28" "fnc_assign(y1000)" 769809
"29" "fnc_assign(y5000)" 3837813
"30" "fnc_assign(y20000)" 15308975
"31" "fnc_assign(y50000)" 38597032
"32" "fnc_assign(y100)" 100343
"33" "fnc_assign(y50000)" 39008010
"34" "fnc_assign(y100)" 87436
"35" "fnc_assign(y30000)" 22242033
"36" "fnc_assign(y100)" 88820
"37" "fnc_assign(y20000)" 15383860
"38" "fnc_assign(y20000)" 16017715
"39" "fnc_assign(y100)" 100850
"40" "fnc_assign(y40000)" 30359303
"41" "fnc_assign(y20000)" 15393442
"42" "fnc_assign(y100)" 92398
"43" "fnc_assign(y20000)" 15603426
"44" "fnc_assign(y1000)" 792018
"45" "fnc_assign(y100)" 88278
"46" "fnc_assign(y1000)" 783166
"47" "fnc_assign(y1000)" 866106
"48" "fnc_assign(y50000)" 38787849
"49" "fnc_assign(y40000)" 30596986
"50" "fnc_assign(y10000)" 39957030
"51" "fnc_assign(y30000)" 21795563
"52" "fnc_assign(y50000)" 36810377
"53" "fnc_assign(y20000)" 14910361
"54" "fnc_assign(y30000)" 23163370
"55" "fnc_assign(y20000)" 14689069
"56" "fnc_assign(y40000)" 29114846
"57" "fnc_assign(y10000)" 7974659
"58" "fnc_assign(y5000)" 3451528
"59" "fnc_assign(y10000)" 7107710
"60" "fnc_assign(y30000)" 22720725
"61" "fnc_assign(y40000)" 29511322
"62" "fnc_assign(y10000)" 7490748
"63" "fnc_assign(y100)" 92767
"64" "fnc_assign(y10000)" 7008777
"65" "fnc_assign(y50000)" 37701590
"66" "fnc_assign(y5000)" 3495035
"67" "fnc_assign(y20000)" 15058846
"68" "fnc_assign(y20000)" 15142305
"69" "fnc_assign(y100)" 81943
"70" "fnc_assign(y100)" 73990
"71" "fnc_assign(y20000)" 14798984
"72" "fnc_assign(y10000)" 7006432
"73" "fnc_assign(y30000)" 21783332
"74" "fnc_assign(y30000)" 24379154
"75" "fnc_assign(y40000)" 29621914
"76" "fnc_assign(y30000)" 23084085
"77" "fnc_assign(y30000)" 22916097
"78" "fnc_assign(y100)" 93944
"79" "fnc_assign(y50000)" 38061530
"80" "fnc_assign(y20000)" 15234131
"81" "fnc_assign(y1000)" 735562
"82" "fnc_assign(y50000)" 38296393
"83" "fnc_assign(y30000)" 22137740
"84" "fnc_assign(y5000)" 3832189
"85" "fnc_assign(y100)" 90995
"86" "fnc_assign(y10000)" 8053878
"87" "fnc_assign(y100)" 79147
"88" "fnc_assign(y1000)" 698179
"89" "fnc_assign(y10000)" 7108430
"90" "fnc_assign(y40000)" 30640183
"91" "fnc_assign(y5000)" 3717522
"92" "fnc_assign(y30000)" 22466735
"93" "fnc_assign(y1000)" 779148
"94" "fnc_assign(y5000)" 4307046
"95" "fnc_assign(y30000)" 22299679
"96" "fnc_assign(y50000)" 37587754
"97" "fnc_assign(y30000)" 23212679
"98" "fnc_assign(y1000)" 750725
"99" "fnc_assign(y40000)" 29374683
"100" "fnc_assign(y5000)" 4375205
"101" "fnc_assign(y10000)" 7204081
"102" "fnc_assign(y50000)" 37720695
"103" "fnc_assign(y20000)" 15047664
"104" "fnc_assign(y1000)" 756222
"105" "fnc_assign(y5000)" 3609017
"106" "fnc_assign(y40000)" 30236183
"107" "fnc_assign(y40000)" 30307293
"108" "fnc_assign(y30000)" 22785441
"109" "fnc_assign(y50000)" 38669487
"110" "fnc_assign(y30000)" 22653552
"111" "fnc_assign(y10000)" 7561754
"112" "fnc_assign(y5000)" 4330294
"113" "fnc_assign(y100)" 87445
"114" "fnc_assign(y10000)" 7273233
"115" "fnc_assign(y10000)" 7406270
"116" "fnc_assign(y10000)" 7773000
"117" "fnc_assign(y100)" 90318
"118" "fnc_assign(y20000)" 15335101
"119" "fnc_assign(y5000)" 3656861
"120" "fnc_assign(y30000)" 22715910
"121" "fnc_assign(y100)" 93515
"122" "fnc_assign(y40000)" 31412769
"123" "fnc_assign(y30000)" 22507256
"124" "fnc_assign(y50000)" 38210044
"125" "fnc_assign(y5000)" 3569922
"126" "fnc_assign(y40000)" 30602996
"127" "fnc_assign(y1000)" 743313
"128" "fnc_assign(y1000)" 722114
"129" "fnc_assign(y40000)" 30582787
"130" "fnc_assign(y40000)" 30102642
"131" "fnc_assign(y5000)" 4590996
"132" "fnc_assign(y1000)" 758481
"133" "fnc_assign(y40000)" 30719201
"134" "fnc_assign(y100)" 94458
"135" "fnc_assign(y50000)" 40314308
"136" "fnc_assign(y50000)" 37708384
"137" "fnc_assign(y100)" 90346
"138" "fnc_assign(y10000)" 7449458
"139" "fnc_assign(y10000)" 8062734
"140" "fnc_assign(y100)" 89497
"141" "fnc_assign(y40000)" 30738117
"142" "fnc_assign(y50000)" 45128697
"143" "fnc_assign(y1000)" 1639443
"144" "fnc_assign(y100)" 167182
"145" "fnc_assign(y100)" 150587
"146" "fnc_assign(y10000)" 11546110
"147" "fnc_assign(y1000)" 813545
"148" "fnc_assign(y5000)" 5165518
"149" "fnc_assign(y40000)" 41039193
"150" "fnc_assign(y5000)" 6644014
"151" "fnc_assign(y50000)" 44520524
"152" "fnc_assign(y40000)" 33089025
"153" "fnc_assign(y100)" 100055
"154" "fnc_assign(y10000)" 7327171
"155" "fnc_assign(y100)" 94972
"156" "fnc_assign(y1000)" 784075
"157" "fnc_assign(y50000)" 39090732
"158" "fnc_assign(y40000)" 31462008
"159" "fnc_assign(y1000)" 845157
"160" "fnc_assign(y20000)" 15158749
"161" "fnc_assign(y5000)" 3737118
"162" "fnc_assign(y5000)" 3615777
"163" "fnc_assign(y5000)" 4512502
"164" "fnc_assign(y10000)" 7200979
"165" "fnc_assign(y1000)" 842021
"166" "fnc_assign(y40000)" 30582466
"167" "fnc_assign(y1000)" 798201
"168" "fnc_assign(y10000)" 7568346
"169" "fnc_assign(y50000)" 38384558
"170" "fnc_assign(y30000)" 22385591
"171" "fnc_assign(y10000)" 7484242
"172" "fnc_assign(y10000)" 8106442
"173" "fnc_assign(y50000)" 38791001
"174" "fnc_assign(y20000)" 15071890
"175" "fnc_assign(y20000)" 15051203
"176" "fnc_assign(y100)" 105511
"177" "fnc_assign(y30000)" 22731677
"178" "fnc_assign(y10000)" 7980213
"179" "fnc_assign(y100)" 84436
"180" "fnc_assign(y1000)" 701796
"181" "fnc_assign(y5000)" 3546719
"182" "fnc_assign(y10000)" 7305712
"183" "fnc_assign(y40000)" 30545771
"184" "fnc_assign(y50000)" 37919065
"185" "fnc_assign(y20000)" 15298495
"186" "fnc_assign(y50000)" 38776676
"187" "fnc_assign(y5000)" 3570290
"188" "fnc_assign(y50000)" 38124687
"189" "fnc_assign(y10000)" 7369680
"190" "fnc_assign(y30000)" 23098029
"191" "fnc_assign(y100)" 85411
"192" "fnc_assign(y40000)" 30546617
"193" "fnc_assign(y1000)" 732185
