"Fnc" "Time"
"1" "fnc_assign(y)" 7947863
"2" "fnc_prealloc(y)" 10272875
"3" "fnc_prealloc(y)" 9713269
"4" "fnc_combines(y)" 123633245
"5" "fnc_assign(y)" 7134260
"6" "fnc_assign(y)" 7529152
"7" "fnc_prealloc(y)" 7621142
"8" "fnc_combines(y)" 119499265
"9" "fnc_assign(y)" 7469599
"10" "fnc_combines(y)" 116731474
"11" "fnc_assign(y)" 8074409
"12" "fnc_combines(y)" 114892445
"13" "fnc_combines(y)" 114547199
"14" "fnc_prealloc(y)" 6688970
"15" "fnc_prealloc(y)" 6679242
"16" "fnc_assign(y)" 7966422
"17" "fnc_combines(y)" 114209502
"18" "fnc_combines(y)" 115005234
"19" "fnc_combines(y)" 143799116
"20" "fnc_assign(y)" 7092854
"21" "fnc_prealloc(y)" 6704088
"22" "fnc_combines(y)" 114049636
"23" "fnc_prealloc(y)" 7053941
"24" "fnc_prealloc(y)" 6742653
"25" "fnc_combines(y)" 114077889
"26" "fnc_assign(y)" 7329716
"27" "fnc_prealloc(y)" 8606737
"28" "fnc_combines(y)" 115801884
"29" "fnc_combines(y)" 113159767
"30" "fnc_assign(y)" 7053280
"31" "fnc_assign(y)" 7416169
"32" "fnc_assign(y)" 7783635
"33" "fnc_assign(y)" 7300014
"34" "fnc_combines(y)" 111913468
"35" "fnc_prealloc(y)" 6535051
"36" "fnc_prealloc(y)" 6726178
"37" "fnc_combines(y)" 110945709
"38" "fnc_combines(y)" 115627378
"39" "fnc_combines(y)" 146602778
"40" "fnc_prealloc(y)" 7151555
"41" "fnc_assign(y)" 7517784
"42" "fnc_prealloc(y)" 8286181
"43" "fnc_combines(y)" 116292791
"44" "fnc_prealloc(y)" 6687637
"45" "fnc_assign(y)" 7884856
"46" "fnc_prealloc(y)" 7593941
"47" "fnc_assign(y)" 8059363
"48" "fnc_combines(y)" 113867445
"49" "fnc_combines(y)" 111622870
"50" "fnc_assign(y)" 7095717
"51" "fnc_combines(y)" 110366362
"52" "fnc_prealloc(y)" 6615364
"53" "fnc_prealloc(y)" 6632505
